video_id,crawl_time,music_id,music_mid,music_title,music_author,music_owner_id,music_owner_nickname,music_duration,music_shoot_duration,is_original_sound,is_commerce_music,music_status,music_collect_count,music_cover_url_list,music_play_url_list
7604872935458835758,2026-05-09 21:57:26.631699,7604873313424378670,,@九米妈妈创作的原声,九米妈妈,2194274246998062,九米妈妈,32,,False,,,,,
7604879605300816057,2026-05-09 21:57:33.839637,7604879505324346127,,,野兽中文配音版本,1873157740312414,野兽中文配音版本,935,,False,,,,,
7604880795479877349,2026-05-09 21:57:56.507958,7604880688382282523,,@四郎讲棋创作的原声,四郎讲棋,63038290966,四郎讲棋,634,,False,,,,,
7604882883202927899,2026-05-09 21:58:00.313152,7604883123586779945,,@美食原产地创作的原声,美食原产地,316313956789079,美食原产地,101,,False,,,,,
7604885085570406473,2026-05-09 21:58:04.281167,7604885127008668422,,@猴儿甜猴儿甜创作的原声,猴儿甜猴儿甜,880025629891079,猴儿甜猴儿甜,843,,False,,,,,
7604887425696959807,2026-05-09 21:58:10.181454,7604888140645518123,,@大酱电影创作的原声,大酱电影,100412022104,大酱电影,941,,False,,,,,
7604888001172344064,2026-05-09 21:58:25.360202,7604887990703360809,,@佳龙动漫解说创作的原声,佳龙动漫解说,106802985204,佳龙动漫解说,59,,False,,,,,
7604890481492041192,2026-05-09 21:58:33.771046,7604890337113525043,,@婲婲凑热闹创作的原声,婲婲凑热闹,95341219320,婲婲凑热闹,354,,False,,,,,
7604970219076979977,2026-05-09 21:58:41.236705,7605373294031751942,,@阿楠说影创作的原声,阿楠说影,2675544174106123,阿楠说影,870,,False,,,,,
7605008048323319483,2026-05-09 21:58:46.144393,,,直播间带货榜,,,,,,,,,,,
7605047371885577830,2026-05-09 21:58:49.933882,,,直播间带货榜,,,,,,,,,,,
7605050624215878918,2026-05-09 21:58:52.510849,,,直播间带货榜,,,,,,,,,,,
7605057565919218041,2026-05-09 21:58:55.120134,7605058059995532047,,@自驾游攻略路书创作的原声,自驾游攻略路书,3485882270882156,自驾游攻略路书,1334,,False,,,,,
7605064229628585338,2026-05-09 21:59:02.082139,,,直播间带货榜,,,,,,,,,,,
7605076911856832625,2026-05-09 21:59:05.704644,7605077162349153039,,麦恩莉,暂别,7571072628598064187,暂别,2690,,False,,,,,
7605077051481148735,2026-05-09 21:59:11.593075,7605077352493615918,,王者荣耀,猪兜游戏解说,4270137847859176,猪兜游戏解说,615,,False,,,,,
