sample_id,video_id,author_id,duration_ms,digg_count,comment_count,share_count,collect_count,play_count,recommend_count,admire_count,is_top,is_ads,is_life_item,original,aweme_type,media_type,create_time,follower_count,total_favorited,verification_type,author_status,author_secret,author_prevent_download,origin_cover_width,origin_cover_height,has_watermark,desc_length,desc_word_count,signature_length,avg_comment_text_length,region,music_title,music_author,hashtag_name_top,video_tag_list_str,hashtag_count,video_tag_count,comment_table_count,max_comment_digg_count,chapter_count,related_video_count,author_id_x_top_hashtag,author_id_x_music_title,duration_bucket_x_top_hashtag,has_watermark_x_duration_bucket,interaction_score,label,split
7628127330842662905,7628127330842662905,2694254131163224,821,8928,376,216,735,0,0,0,0,False,False,0,0,4,1776072600,292491,3598105,1,1,0,False,480,360,False,37,33,13,10.0,CN,1967,,游牧生活,游戏,5.0,1,3,497,1,6,2694254131163224_x_游牧生活,2694254131163224_x_1967,short_x_游牧生活,False_x_short,10255.0,0,train
7628207227194723611,7628207227194723611,1482589988992014,159174,176792,3799,174377,14620,0,0,0,0,False,False,0,0,4,1776135600,4628749,93025519,1,1,0,False,360,640,False,20,20,31,7.5,CN,吃货眼中的各地美食有多香,,夜市,音乐 | 科技 | 时尚,4.0,3,4,438,3,6,1482589988992014_x_夜市,1482589988992014_x_吃货眼中的各地美食有多香,medium_x_夜市,False_x_medium,369588.0,1,train
7628551587098610963,7628551587098610963,59618628613,317953,96491,1340,18384,9022,0,0,0,0,False,False,0,0,4,1776160583,7013630,90715902,1,1,0,False,640,360,False,0,0,44,8.0,CN,各种烤肠测评,,,游戏 | 搞笑,,2,3,398,3,6,59618628613_x_NA,59618628613_x_各种烤肠测评,long_x_NA,False_x_long,125237.0,1,train
7628553852249267967,7628553852249267967,4239331869079003,217500,644315,6678,130058,64410,0,0,0,0,False,False,0,0,4,1776167367,2063695,39835173,1,1,0,False,360,640,False,28,28,41,8.333333333333334,CN,@哆腾创作的原声,哆腾,美团外卖40元神券是谁在领,游戏,2.0,1,3,408,2,6,4239331869079003_x_美团外卖40元神券是谁在领,4239331869079003_x_@哆腾创作的原声,medium_x_美团外卖40元神券是谁在领,False_x_medium,845461.0,1,train
7628558364116651304,7628558364116651304,3611229244630589,217966,15085,68,661,7021,0,0,0,0,False,False,0,0,4,1776162162,39792,1244428,1,1,0,False,640,360,False,22,19,49,9.5,CN,@额头太郎创作的原声,额头太郎,地狱客栈,美食,4.0,1,2,392,3,6,3611229244630589_x_地狱客栈,3611229244630589_x_@额头太郎创作的原声,medium_x_地狱客栈,False_x_medium,22835.0,0,train
7628593328451226926,7628593328451226926,74324802337,179634,15236,831,16518,15528,0,0,0,0,False,False,0,0,4,1776170302,2783,23935,1,1,0,False,640,360,False,398,394,86,8.75,CN,@猫猫桃创作的原声,猫猫桃,台州,音乐 | 美食,5.0,2,4,464,3,6,74324802337_x_台州,74324802337_x_@猫猫桃创作的原声,medium_x_台州,False_x_medium,48113.0,1,train
7628628390169414921,7628628390169414921,509795900595245,1541,25953,649,2271,7613,0,0,0,0,False,False,0,0,4,1776180020,5788093,53751812,1,1,0,False,640,360,False,25,24,78,9.666666666666666,CN,Einaudi: Experience,,犯罪,音乐 | 科技 | 萌宠,2.0,3,3,195,3,6,509795900595245_x_犯罪,509795900595245_x_Einaudi: Experience,short_x_犯罪,False_x_short,36486.0,1,train
7628861580435934518,7628861580435934518,106853351580,1515,23,444,793,3583,0,0,0,0,False,False,0,0,4,1776237260,937431,22784120,1,1,0,False,640,360,False,25,24,28,7.75,CN,@秋琳说电影创作的原声,秋琳说电影,,娱乐 | 运动 | 旅行,,3,4,356,3,6,106853351580_x_NA,106853351580_x_@秋琳说电影创作的原声,short_x_NA,False_x_short,4843.0,0,train
7628944573020130579,7628944573020130579,7869942119,468,84956,1707,5470,4162,0,0,0,0,False,False,0,0,4,1776252084,25563179,468615694,2,1,0,False,640,360,False,53,51,111,8.25,CN,MVP结算画面,,人间观察计划,旅行 | 时尚,2.0,2,4,271,3,6,7869942119_x_人间观察计划,7869942119_x_MVP结算画面,short_x_人间观察计划,False_x_short,96295.0,1,train
7628946780247428378,7628946780247428378,59179341517,276969,1,240,1167,2881,0,0,0,0,False,False,0,0,4,1777200582,13768,534270,1,1,0,False,640,360,False,27,23,35,8.666666666666666,CN,SPACE！ (DJ超然版),,,运动 | 美食,,2,3,140,2,6,59179341517_x_NA,59179341517_x_SPACE！ (DJ超然版),medium_x_NA,False_x_medium,4289.0,0,train
