source_node_id,target_node_id,source_raw_id,target_raw_id,edge_type,is_reverse
1602,12119,video::7615539463104540526,video::7637676900551273914,video_related_video,False
12119,1602,video::7637676900551273914,video::7615539463104540526,video_related_video,True
1602,12120,video::7615539463104540526,video::7613902937617662833,video_related_video,False
12120,1602,video::7613902937617662833,video::7615539463104540526,video_related_video,True
1602,12121,video::7615539463104540526,video::7619800284567621355,video_related_video,False
12121,1602,video::7619800284567621355,video::7615539463104540526,video_related_video,True
1602,12122,video::7615539463104540526,video::7609240942928226511,video_related_video,False
12122,1602,video::7609240942928226511,video::7615539463104540526,video_related_video,True
1602,2705,video::7615539463104540526,video::7624037387882681081,video_related_video,False
2705,1602,video::7624037387882681081,video::7615539463104540526,video_related_video,True
1602,12123,video::7615539463104540526,video::7614727719302314661,video_related_video,False
12123,1602,video::7614727719302314661,video::7615539463104540526,video_related_video,True
1603,12124,video::7615549323976109994,video::7618942599060061029,video_related_video,False
12124,1603,video::7618942599060061029,video::7615549323976109994,video_related_video,True
1603,4602,video::7615549323976109994,video::7625883564604873326,video_related_video,False
4602,1603,video::7625883564604873326,video::7615549323976109994,video_related_video,True
1603,12125,video::7615549323976109994,video::7605548663447833875,video_related_video,False
12125,1603,video::7605548663447833875,video::7615549323976109994,video_related_video,True
1603,4887,video::7615549323976109994,video::7612579707732799409,video_related_video,False
4887,1603,video::7612579707732799409,video::7615549323976109994,video_related_video,True
1603,12126,video::7615549323976109994,video::7612202667104383227,video_related_video,False
12126,1603,video::7612202667104383227,video::7615549323976109994,video_related_video,True
1603,12127,video::7615549323976109994,video::7628679979841500906,video_related_video,False
12127,1603,video::7628679979841500906,video::7615549323976109994,video_related_video,True
1603,12128,video::7615549323976109994,video::7614074584884046257,video_related_video,False
12128,1603,video::7614074584884046257,video::7615549323976109994,video_related_video,True
1603,12129,video::7615549323976109994,video::7628173876162784881,video_related_video,False
12129,1603,video::7628173876162784881,video::7615549323976109994,video_related_video,True
1603,12130,video::7615549323976109994,video::7624095153808114806,video_related_video,False
12130,1603,video::7624095153808114806,video::7615549323976109994,video_related_video,True
1603,10104,video::7615549323976109994,video::7624453408091637689,video_related_video,False
10104,1603,video::7624453408091637689,video::7615549323976109994,video_related_video,True
1606,12131,video::7615554085248868475,video::7615015028517595569,video_related_video,False
12131,1606,video::7615015028517595569,video::7615554085248868475,video_related_video,True
1606,10131,video::7615554085248868475,video::7624491919158694769,video_related_video,False
10131,1606,video::7624491919158694769,video::7615554085248868475,video_related_video,True
1606,12132,video::7615554085248868475,video::7623080771426782491,video_related_video,False
12132,1606,video::7623080771426782491,video::7615554085248868475,video_related_video,True
1606,12133,video::7615554085248868475,video::7626023164388560895,video_related_video,False
12133,1606,video::7626023164388560895,video::7615554085248868475,video_related_video,True
1606,5745,video::7615554085248868475,video::7622943081335336838,video_related_video,False
5745,1606,video::7622943081335336838,video::7615554085248868475,video_related_video,True
1606,2721,video::7615554085248868475,video::7624142583161581553,video_related_video,False
2721,1606,video::7624142583161581553,video::7615554085248868475,video_related_video,True
1606,12134,video::7615554085248868475,video::7632908383141834161,video_related_video,False
12134,1606,video::7632908383141834161,video::7615554085248868475,video_related_video,True
1606,2192,video::7615554085248868475,video::7619096724350571121,video_related_video,False
2192,1606,video::7619096724350571121,video::7615554085248868475,video_related_video,True
1606,12135,video::7615554085248868475,video::7617104047769786314,video_related_video,False
12135,1606,video::7617104047769786314,video::7615554085248868475,video_related_video,True
1607,12136,video::7615559419643890995,video::7607513923775958307,video_related_video,False
12136,1607,video::7607513923775958307,video::7615559419643890995,video_related_video,True
1607,4659,video::7615559419643890995,video::7627130367887166754,video_related_video,False
4659,1607,video::7627130367887166754,video::7615559419643890995,video_related_video,True
1607,12137,video::7615559419643890995,video::7606154147737472265,video_related_video,False
12137,1607,video::7606154147737472265,video::7615559419643890995,video_related_video,True
1607,12138,video::7615559419643890995,video::7634099098181700914,video_related_video,False
12138,1607,video::7634099098181700914,video::7615559419643890995,video_related_video,True
