id_value,train_count,val_count,test_count,total_count,in_train,in_val,in_test,field
732755268996195,2,0,0,2,True,False,False,author_id
142c5800-a156-f78c-bb95-485ee698463b,2,0,0,2,True,False,False,author_id
701bee65-a482-4270-7996-08924aa36caf,2,0,0,2,True,False,False,author_id
7411852413869671481,2,0,0,2,True,False,False,author_id
93480519330,2,0,0,2,True,False,False,author_id
c53e265a-c901-0778-aef1-08289d32aeeb,2,1,0,3,True,True,False,author_id
4330305111468175,2,0,0,2,True,False,False,author_id
1359447910002776,2,0,0,2,True,False,False,author_id
3a920f7d-8105-c8f2-216b-95aac0d1ff55,2,0,0,2,True,False,False,author_id
330327992314823,2,0,0,2,True,False,False,author_id
d207491b-a53b-6f44-ba5f-cfc8d9386333,2,0,1,3,True,False,True,author_id
1b5621c9-8f0d-21c7-547b-ab990631eb48,2,0,0,2,True,False,False,author_id
774390dc-5444-1ff8-8ce3-07ab45060148,2,0,0,2,True,False,False,author_id
668b8a7d-3d0a-0dda-53b5-219eab606b5b,2,0,0,2,True,False,False,author_id
a244c4ce-6553-a7d4-097b-025bacfd7922,2,0,0,2,True,False,False,author_id
7524649017218434105,2,1,0,3,True,True,False,author_id
7585311563952800826,1,0,0,1,True,False,False,author_id
451274120628185,1,0,0,1,True,False,False,author_id
75306860806,1,0,0,1,True,False,False,author_id
273123429071838,1,0,0,1,True,False,False,author_id
643656442712384,1,0,0,1,True,False,False,author_id
299535262822100,1,0,0,1,True,False,False,author_id
97487319185,1,0,0,1,True,False,False,author_id
7607108674146927653,1,0,0,1,True,False,False,author_id
97033245722,1,0,0,1,True,False,False,author_id
4214874811141448,1,0,0,1,True,False,False,author_id
37813905260795,1,0,0,1,True,False,False,author_id
1594746348769012,1,0,0,1,True,False,False,author_id
62355143793,1,0,0,1,True,False,False,author_id
3958712584125917,1,0,0,1,True,False,False,author_id
3712397245415768,1,0,0,1,True,False,False,author_id
4037061292328984,1,0,0,1,True,False,False,author_id
3463924205225370,1,0,0,1,True,False,False,author_id
4396291263565257,1,0,0,1,True,False,False,author_id
88617437824,1,0,0,1,True,False,False,author_id
2843790455349563,1,0,0,1,True,False,False,author_id
3760762690733323,1,0,0,1,True,False,False,author_id
7511645305215140921,1,0,0,1,True,False,False,author_id
728299243321881,1,0,0,1,True,False,False,author_id
51212338779,1,0,0,1,True,False,False,author_id
3619207851815804,1,0,0,1,True,False,False,author_id
2508413084898643,1,0,0,1,True,False,False,author_id
4189617200840380,1,0,0,1,True,False,False,author_id
3616752336914073,1,0,0,1,True,False,False,author_id
1602430961742728,1,0,0,1,True,False,False,author_id
59092858175,1,0,0,1,True,False,False,author_id
4373216951297322,1,0,0,1,True,False,False,author_id
97585234351,1,0,0,1,True,False,False,author_id
65774681928,1,0,0,1,True,False,False,author_id
1693700349771677,1,0,0,1,True,False,False,author_id
4413864245211578,1,0,0,1,True,False,False,author_id
7506146361134498873,1,0,0,1,True,False,False,author_id
3076884294273264,1,0,0,1,True,False,False,author_id
96913953829,1,0,0,1,True,False,False,author_id
61628237686,1,0,0,1,True,False,False,author_id
2022754675858976,1,0,0,1,True,False,False,author_id
1389429960999968,1,0,0,1,True,False,False,author_id
968011270335143,1,0,0,1,True,False,False,author_id
2059850118080004,1,0,0,1,True,False,False,author_id
3933387871759080,1,0,0,1,True,False,False,author_id
360268242093976,1,0,0,1,True,False,False,author_id
485321152143740,1,0,0,1,True,False,False,author_id
3367129825943915,1,0,0,1,True,False,False,author_id
169747772871452,1,0,0,1,True,False,False,author_id
2235784754895401,1,0,0,1,True,False,False,author_id
103618677950,1,0,0,1,True,False,False,author_id
7596380870676759589,1,1,1,3,True,True,True,author_id
1165897612932508,1,0,0,1,True,False,False,author_id
1625508589088153,1,0,0,1,True,False,False,author_id
82459269763,1,0,0,1,True,False,False,author_id
3094447507651795,1,0,0,1,True,False,False,author_id
948245421883962,1,0,0,1,True,False,False,author_id
63671176566,1,0,0,1,True,False,False,author_id
620599381599773,1,0,0,1,True,False,False,author_id
83383982900,1,0,0,1,True,False,False,author_id
4501852813527289,1,0,0,1,True,False,False,author_id
931988525825230,1,0,0,1,True,False,False,author_id
2714043313815648,1,0,0,1,True,False,False,author_id
3215413796936268,1,0,0,1,True,False,False,author_id
3499123329992972,1,0,0,1,True,False,False,author_id
63727616821,1,0,0,1,True,False,False,author_id
4266545046357597,1,0,0,1,True,False,False,author_id
7605203055701787697,1,0,0,1,True,False,False,author_id
4197286238497276,1,0,0,1,True,False,False,author_id
3459541434111339,1,0,0,1,True,False,False,author_id
2425971945265194,1,0,0,1,True,False,False,author_id
86719542554,1,0,0,1,True,False,False,author_id
3423244164011403,1,0,0,1,True,False,False,author_id
2142320892319375,1,0,0,1,True,False,False,author_id
54241111709,1,0,0,1,True,False,False,author_id
500978874065992,1,0,0,1,True,False,False,author_id
62637336337,1,1,1,3,True,True,True,author_id
97883518626,1,0,2,3,True,False,True,author_id
7419705622931047481,1,0,0,1,True,False,False,author_id
98105498795,1,0,0,1,True,False,False,author_id
44461346530439,1,0,0,1,True,False,False,author_id
1420208101919709,1,0,0,1,True,False,False,author_id
1900433984983197,1,0,0,1,True,False,False,author_id
3456461648432755,1,0,0,1,True,False,False,author_id
136809287529688,1,0,0,1,True,False,False,author_id
4419662494047100,1,0,0,1,True,False,False,author_id
3039476090415392,1,0,0,1,True,False,False,author_id
7559775643912275003,1,0,0,1,True,False,False,author_id
4223693370168507,1,0,0,1,True,False,False,author_id
109889886565,1,0,0,1,True,False,False,author_id
998782818334263,1,0,0,1,True,False,False,author_id
3988662722506359,1,0,0,1,True,False,False,author_id
3764327265343965,1,0,0,1,True,False,False,author_id
99171122971,1,0,0,1,True,False,False,author_id
76542380281,1,0,0,1,True,False,False,author_id
103153695532,1,0,0,1,True,False,False,author_id
101348060787,1,0,0,1,True,False,False,author_id
111283452001,1,0,0,1,True,False,False,author_id
73837360613,1,0,0,1,True,False,False,author_id
4240162847208071,1,0,0,1,True,False,False,author_id
7423798846785274937,1,0,0,1,True,False,False,author_id
108837809418,1,0,0,1,True,False,False,author_id
7539928984777376827,1,0,0,1,True,False,False,author_id
1845460045661867,1,0,0,1,True,False,False,author_id
104514103103,1,0,0,1,True,False,False,author_id
3723412795295876,1,0,0,1,True,False,False,author_id
7538457218123842618,1,0,0,1,True,False,False,author_id
78100450393,1,0,0,1,True,False,False,author_id
63709763829,1,1,0,2,True,True,False,author_id
2877836888391080,1,0,0,1,True,False,False,author_id
7605150194821760049,1,0,0,1,True,False,False,author_id
273124692066472,1,0,0,1,True,False,False,author_id
2396589511149981,1,0,0,1,True,False,False,author_id
4464435371708615,1,0,0,1,True,False,False,author_id
60280072555,1,0,0,1,True,False,False,author_id
4144506446546411,1,0,0,1,True,False,False,author_id
719559433920650,1,0,0,1,True,False,False,author_id
59338923956,1,0,0,1,True,False,False,author_id
4143436435822816,1,1,0,2,True,True,False,author_id
24635934796928,1,0,0,1,True,False,False,author_id
2463381510173315,1,0,0,1,True,False,False,author_id
101800790134,1,0,0,1,True,False,False,author_id
7521308633667273786,1,0,0,1,True,False,False,author_id
73579044337,1,0,0,1,True,False,False,author_id
95096678614,1,0,0,1,True,False,False,author_id
2157673397620266,1,0,0,1,True,False,False,author_id
3968556252795690,1,0,0,1,True,False,False,author_id
7598386966841820219,1,0,0,1,True,False,False,author_id
7547653116784657467,1,0,0,1,True,False,False,author_id
3284970991522008,1,0,0,1,True,False,False,author_id
7528977603895428153,1,0,0,1,True,False,False,author_id
3470493947534528,1,0,0,1,True,False,False,author_id
92456404541,1,0,0,1,True,False,False,author_id
2311650056871664,1,0,0,1,True,False,False,author_id
2623874097491387,1,0,0,1,True,False,False,author_id
3811366312093626,1,0,0,1,True,False,False,author_id
85433472151,1,0,0,1,True,False,False,author_id
4097208139912508,1,0,0,1,True,False,False,author_id
7617387485093790777,1,0,0,1,True,False,False,author_id
1207710136405472,1,0,0,1,True,False,False,author_id
3945500984217643,1,1,0,2,True,True,False,author_id
2381975628819772,1,0,0,1,True,False,False,author_id
7555350899225871418,1,0,0,1,True,False,False,author_id
2931756687178554,1,1,0,2,True,True,False,author_id
2977948132446892,1,0,0,1,True,False,False,author_id
66698779974,1,0,0,1,True,False,False,author_id
3235207598586067,1,0,0,1,True,False,False,author_id
688741048130989,1,0,0,1,True,False,False,author_id
2577704248150995,1,0,0,1,True,False,False,author_id
4002695188062652,1,0,0,1,True,False,False,author_id
101783357426,1,0,0,1,True,False,False,author_id
72422164583,1,0,0,1,True,False,False,author_id
4306145749267975,1,0,0,1,True,False,False,author_id
82358884762,1,0,0,1,True,False,False,author_id
237914790309783,1,0,0,1,True,False,False,author_id
99216697573,1,0,0,1,True,False,False,author_id
264349475940254,1,0,0,1,True,False,False,author_id
1972975848657678,1,0,0,1,True,False,False,author_id
101349202583,1,0,0,1,True,False,False,author_id
2950686681341422,1,0,0,1,True,False,False,author_id
2005926021439560,1,0,0,1,True,False,False,author_id
111187059274,1,0,0,1,True,False,False,author_id
1275865267440317,1,0,0,1,True,False,False,author_id
